phase,graph,chunk,module_execute_us
decode,model.0.s1,1,22929
decode,model.0.s1,1,23732
decode,model.0.s1,1,23854
decode,model.0.s1,1,23882
decode,model.0.s1,1,23666
decode,model.0.s1,1,23832
decode,model.0.s1,1,23550
decode,model.0.s1,1,23623
decode,model.0.s1,1,23917
decode,model.0.s1,1,22942
decode,model.0.s1,1,23402
decode,model.0.s1,1,23906
decode,model.0.s1,1,23687
decode,model.0.s1,1,23247
decode,model.0.s1,1,23246
decode,model.0.s1,1,24006
decode,model.0.s1,1,23770
decode,model.0.s1,1,23103
decode,model.0.s1,1,23824
decode,model.0.s1,1,23769
decode,model.0.s1,1,23229
decode,model.0.s1,1,23745
decode,model.0.s1,1,23766
decode,model.0.s1,1,23765
decode,model.0.s1,1,23675
decode,model.0.s1,1,23632
decode,model.0.s1,1,23847
decode,model.0.s1,1,23673
decode,model.0.s1,1,23757
decode,model.0.s1,1,23817
decode,model.0.s1,1,23755
decode,model.0.s1,1,23676
decode,model.0.s1,1,23808
decode,model.0.s1,1,23643
decode,model.0.s1,1,23701
decode,model.0.s1,1,23980
decode,model.0.s1,1,23652
decode,model.0.s1,1,23634
decode,model.0.s1,1,23843
decode,model.0.s1,1,23758
decode,model.0.s1,1,23863
decode,model.0.s1,1,24095
decode,model.0.s1,1,24068
decode,model.0.s1,1,23659
decode,model.0.s1,1,23911
decode,model.0.s1,1,23918
decode,model.0.s1,1,23676
decode,model.0.s1,1,23734
decode,model.0.s1,1,23587
decode,model.0.s1,1,23690
decode,model.0.s1,1,23669
decode,model.0.s1,1,23687
decode,model.0.s1,1,23669
decode,model.0.s1,1,23649
decode,model.0.s1,1,23872
decode,model.0.s1,1,23669
decode,model.0.s1,1,23744
decode,model.0.s1,1,23709
decode,model.0.s1,1,23900
decode,model.0.s1,1,23683
decode,model.0.s1,1,23653
decode,model.0.s1,1,23554
decode,model.0.s1,1,23684
decode,model.0.s1,1,23868
decode,model.0.s1,1,23780
decode,model.0.s1,1,23722
decode,model.0.s1,1,23698
decode,model.0.s1,1,24271
decode,model.0.s1,1,23585
decode,model.0.s1,1,23618
decode,model.0.s1,1,23934
decode,model.0.s1,1,23700
decode,model.0.s1,1,23729
decode,model.0.s1,1,23991
decode,model.0.s1,1,23806
decode,model.0.s1,1,23739
decode,model.0.s1,1,23764
decode,model.0.s1,1,23722
decode,model.0.s1,1,23703
decode,model.0.s1,1,23690
decode,model.0.s1,1,23772
decode,model.0.s1,1,23848
decode,model.0.s1,1,23733
decode,model.0.s1,1,23744
decode,model.0.s1,1,23743
decode,model.0.s1,1,23837
decode,model.0.s1,1,23694
decode,model.0.s1,1,23638
decode,model.0.s1,1,23839
decode,model.0.s1,1,23808
decode,model.0.s1,1,23826
decode,model.0.s1,1,23875
decode,model.0.s1,1,24341
decode,model.0.s1,1,23815
decode,model.0.s1,1,23900
decode,model.0.s1,1,23879
decode,model.0.s1,1,23712
decode,model.0.s1,1,23777
decode,model.0.s1,1,23534
decode,model.0.s1,1,23616
decode,model.0.s1,1,23655
decode,model.0.s1,1,23721
decode,model.0.s1,1,23984
decode,model.0.s1,1,23826
decode,model.0.s1,1,23799
decode,model.0.s1,1,23744
decode,model.0.s1,1,23680
decode,model.0.s1,1,23728
decode,model.0.s1,1,23633
decode,model.0.s1,1,23579
decode,model.0.s1,1,23165
decode,model.0.s1,1,23402
decode,model.0.s1,1,23726
decode,model.0.s1,1,23668
decode,model.0.s1,1,23123
decode,model.0.s1,1,23806
decode,model.0.s1,1,23238
decode,model.0.s1,1,23780
decode,model.0.s1,1,24188
decode,model.0.s1,1,23813
decode,model.0.s1,1,23753
decode,model.0.s1,1,23894
decode,model.0.s1,1,23812
decode,model.0.s1,1,23762
decode,model.0.s1,1,23830
decode,model.0.s1,1,23828
decode,model.0.s1,1,23695
decode,model.0.s1,1,23423
decode,model.0.s1,1,23667
decode,model.0.s1,1,23768
decode,model.0.s1,1,23850
decode,model.0.s1,1,23682
decode,model.0.s1,1,23608
decode,model.0.s1,1,23870
decode,model.0.s1,1,23901
decode,model.0.s1,1,23619
decode,model.0.s1,1,23880
decode,model.0.s1,1,23793
decode,model.0.s1,1,23646
decode,model.0.s1,1,23824
decode,model.0.s1,1,23784
decode,model.0.s1,1,23709
decode,model.0.s1,1,23879
decode,model.0.s1,1,24486
decode,model.0.s1,1,23910
decode,model.0.s1,1,23718
decode,model.0.s1,1,23851
decode,model.0.s1,1,23666
decode,model.0.s1,1,23623
decode,model.0.s1,1,23738
decode,model.0.s1,1,23414
decode,model.0.s1,1,23701
decode,model.0.s1,1,23828
decode,model.0.s1,1,23758
decode,model.0.s1,1,23683
decode,model.0.s1,1,23683
decode,model.0.s1,1,23889
decode,model.0.s1,1,23657
decode,model.0.s1,1,23712
decode,model.0.s1,1,23718
decode,model.0.s1,1,23785
decode,model.0.s1,1,23853
decode,model.0.s1,1,23674
decode,model.0.s1,1,23612
decode,model.0.s1,1,23258
decode,model.0.s1,1,24027
decode,model.0.s1,1,23770
decode,model.0.s1,1,23736
decode,model.0.s1,1,24173
decode,model.0.s1,1,23957
decode,model.0.s1,1,23839
decode,model.0.s1,1,23693
decode,model.0.s1,1,23853
decode,model.0.s1,1,23784
decode,model.0.s1,1,23096
decode,model.0.s1,1,22653
decode,model.0.s1,1,23291
decode,model.0.s1,1,23823
decode,model.0.s1,1,23659
decode,model.0.s1,1,23578
decode,model.0.s1,1,22837
decode,model.0.s1,1,23015
decode,model.0.s1,1,23551
decode,model.0.s1,1,23714
decode,model.0.s1,1,23356
decode,model.0.s1,1,23721
decode,model.0.s1,1,22951
decode,model.0.s1,1,22670
decode,model.0.s1,1,23495
decode,model.0.s1,1,23588
decode,model.0.s1,1,23578
decode,model.0.s1,1,23612
decode,model.0.s1,1,23642
decode,model.0.s1,1,23600
decode,model.0.s1,1,24245
decode,model.0.s1,1,23556
decode,model.0.s1,1,23506
decode,model.0.s1,1,23659
decode,model.0.s1,1,23683
decode,model.0.s1,1,23115
decode,model.0.s1,1,23105
decode,model.0.s1,1,23676
decode,model.0.s1,1,23738
decode,model.0.s1,1,23583
decode,model.0.s1,1,23524
decode,model.0.s1,1,23561
decode,model.0.s1,1,23648
decode,model.0.s1,1,23599
decode,model.0.s1,1,23605
decode,model.0.s1,1,23650
decode,model.0.s1,1,23627
decode,model.0.s1,1,23482
decode,model.0.s1,1,23494
decode,model.0.s1,1,23570
decode,model.0.s1,1,23689
decode,model.0.s1,1,23601
decode,model.0.s1,1,23586
decode,model.0.s1,1,23613
decode,model.0.s1,1,23631
decode,model.0.s1,1,23655
decode,model.0.s1,1,23999
decode,model.0.s1,1,23611
decode,model.0.s1,1,23609
decode,model.0.s1,1,23609
decode,model.0.s1,1,23567
decode,model.0.s1,1,23690
decode,model.0.s1,1,23625
decode,model.0.s1,1,23568
decode,model.0.s1,1,23705
decode,model.0.s1,1,23687
decode,model.0.s1,1,23635
decode,model.0.s1,1,23619
decode,model.0.s1,1,23838
decode,model.0.s1,1,23669
decode,model.0.s1,1,23672
decode,model.0.s1,1,23783
decode,model.0.s1,1,23618
decode,model.0.s1,1,23681
decode,model.0.s1,1,23725
decode,model.0.s1,1,23810
decode,model.0.s1,1,23590
decode,model.0.s1,1,23614
decode,model.0.s1,1,23868
decode,model.0.s1,1,23935
decode,model.0.s1,1,23832
decode,model.0.s1,1,24312
